ID,Tahun,Nama_Negara,Wilayah,Jenis_Tanaman,Total_Curah_Hujan_mm,Emisi_CO2_JT_Ton,Hasil_Panen_Ton_per_HA,Kejadian_Cuaca_Ekstrim,Akses_Irigasi,Penggunaan_Pestisida_KG_per_HA,Penggunaan_Pupuk_KG_per_HA,Indeks_Kesehatan_Tanah,Strategi_Adaptasi,Suhu_Rata_Rata_C
4317,1994,India,Maharashtra,Fruits,344.26,29.45,2.238219358974359,10,73.72,34.25,77.88,77.05,Manajemen Air,1.36
4318,2008,Australia,Victoria,Coffee,2639.05,4.95,1.97,6,42.74,13.81,90.6,46.04,Rotasi Tanaman,20.94
4319,2013,Canada,Ontario,Vegetables,532.12,10.56,4.06,5,75.36,15.63,5.76,69.6,Pertanian Organik,19.37
4320,2015,Russia,Central,Coffee,1868.46,11.72,4.76,6,65.08,39.61,56.58,64.38,Pertanian Organik,17.36
4321,1991,Russia,Siberian,Rice,2209.13,14.54,4.02,6,23.26,49.1,65.03,40.96,Tanaman Tahan Kekeringan,19.08
4322,2002,Canada,British Columbia,Corn,1991.02,21.41,1.377,3,21.06,39.06,31.42,61.62,Manajemen Air,21.54
4323,2002,France,Ile-de-France,Soybeans,1565.72,21.67,1.4220000000000002,7,13.5,45.89,70.92,54.02,Tanaman Tahan Kekeringan,24.45
4324,2003,USA,Northeast,Coffee,1615.5030597110344,13.0,1.84,5,50.2,30.78,93.93,92.72,Manajemen Air,20.2
4325,2008,Russia,Northwestern,Wheat,2017.38,1.79,1.8,5,51.37,30.63,70.66,40.63,Manajemen Air,14.41
4326,2011,India,Maharashtra,Soybeans,970.53,16.12,2.238219358974359,0,12.87,46.53,66.19,85.11,Rotasi Tanaman,-0.5
4327,2018,Russia,Volga,Corn,2920.8,6.01,3.33,5,12.31,49.05,71.29,73.31,Pertanian Organik,32.93
4328,2021,Australia,New South Wales,Fruits,2608.0,6.1,2.12,3,49.44,18.48,84.89,56.38,Tanaman Tahan Kekeringan,17.23
4329,2003,USA,West,Wheat,1393.78,4.4,2.04,9,91.81,16.3,55.36,67.26,Tanaman Tahan Kekeringan,23.3
4330,1999,Canada,Ontario,Coffee,349.95,21.2,2.241,9,83.7,36.76,22.06,92.97,Tanaman Tahan Kekeringan,32.88
4331,2007,Canada,Prairies,Corn,2235.44,29.26,3.546,9,96.46,18.96,9.21,53.39,Rotasi Tanaman,11.44
4332,2008,France,Ile-de-France,Barley,2986.54,1.75,2.03,0,50.39,13.42,99.7,56.18,Tanpa Adaptasi,13.16
4333,2012,USA,Northeast,Corn,1698.65,23.03,2.421,10,44.48,26.13,61.15,61.1,Tanpa Adaptasi,20.78
4334,2024,India,Tamil Nadu,Soybeans,1361.43,18.47,0.765,0,67.99,43.64,51.56,81.05,Manajemen Air,-1.05
4335,1995,Australia,Victoria,Wheat,845.64,14.72,0.9,4,49.99,13.37,2.11,66.55,Tanpa Adaptasi,22.97
4336,2010,Nigeria,North West,Coffee,1800.48,25.57,2.421,2,56.46,11.94,19.13,73.25,Rotasi Tanaman,34.51
4337,2014,Nigeria,South East,Cotton,746.72,2.68,2.52,8,60.55,23.42,28.02,55.66,Tanaman Tahan Kekeringan,11.77
4338,1996,China,Central,Fruits,1933.91,20.09,1.593,6,61.05,10.97,32.99,65.03,Manajemen Air,20.43
4339,1990,Nigeria,North West,Barley,1081.11,14.02,2.43,5,17.3,42.33,68.93,41.63,Tanaman Tahan Kekeringan,-0.92
4340,2022,China,North,Cotton,1615.5030597110344,18.05,0.7200000000000001,1,55.39457475380484,29.77,64.15,58.89,Tanaman Tahan Kekeringan,32.88
4341,2000,Argentina,Northwest,Sugarcane,698.96,27.29,3.717,3,52.31,47.46,93.47,80.41,Pertanian Organik,17.93
4342,2009,Nigeria,North West,Coffee,1895.35,10.47,2.5,10,73.52,39.42,17.62,64.02,Tanaman Tahan Kekeringan,21.85
4343,2004,France,Provence-Alpes-Cote d’Azur,Vegetables,2283.51,22.66,1.719,8,21.26,3.86,13.11,31.86,Rotasi Tanaman,1.0
4344,2010,China,East,Wheat,2649.78,25.11,4.428,4,97.95,9.42,44.79,68.88,Manajemen Air,10.04
4345,2017,China,East,Wheat,2696.48,9.61,2.46,7,68.7,34.65,90.16,30.44,Tanpa Adaptasi,19.57
4346,2024,Argentina,Northeast,Fruits,2318.53,25.71,1.179,2,97.24,5.04,10.35,95.84,Pertanian Organik,5.5
4347,2014,Australia,Queensland,Fruits,1940.83,10.41,2.69,6,25.59,36.75,15.4,97.15,Pertanian Organik,30.71
4348,2006,USA,South,Rice,2520.51,25.85,1.917,4,46.81,42.17,32.53,81.42,Manajemen Air,15.28
4349,1995,Argentina,Patagonia,Corn,2991.45,15.84,2.238219358974359,9,46.23,18.75,3.79,30.17,Manajemen Air,16.28
4350,2022,USA,Northeast,Wheat,2859.01,14.46,2.3,9,60.04,20.99,32.55,36.84,Tanpa Adaptasi,24.94
4351,2023,Canada,Prairies,Sugarcane,1285.06,27.25,3.438,8,47.99,10.56,15.37,46.02,Rotasi Tanaman,25.77
4352,2002,France,Ile-de-France,Coffee,1503.07,28.26,4.428,5,44.8,1.05,69.11,44.35,Pertanian Organik,11.62
4353,2001,Australia,Western Australia,Vegetables,1972.81,28.43,1.809,4,68.74,2.64,94.47,75.37,Manajemen Air,26.68
4354,2017,Brazil,South,Corn,222.48,17.26,1.134,2,55.39457475380484,21.15,62.77,77.85,Tanpa Adaptasi,7.58
4355,2018,USA,South,Fruits,2239.06,16.86,1.836,8,28.79,1.72,0.58,35.38,Pertanian Organik,20.94
4356,2010,Nigeria,South East,Soybeans,256.05,2.89,2.727,8,35.74,42.96,40.99,82.37,Manajemen Air,26.48
4357,2017,India,Punjab,Wheat,673.41,3.98,0.95,9,76.06,33.19,88.57,75.49,Manajemen Air,-4.08
4358,2000,China,East,Vegetables,972.39,13.75,2.65,0,90.59,40.9,3.31,91.87,Tanpa Adaptasi,-4.47
4359,2000,France,Ile-de-France,Wheat,1360.77,29.96,0.873,4,60.85,8.34,92.33,54.59,Tanpa Adaptasi,6.33
4360,2008,USA,West,Barley,2932.49,14.79,3.03,1,34.14,38.42,72.56,48.43,Rotasi Tanaman,13.84
4361,1995,China,East,Corn,2280.97,9.2,1.13,0,11.84,44.93,94.13,98.29,Tanaman Tahan Kekeringan,21.13
4362,1996,Brazil,South,Wheat,514.2,17.93,0.7020000000000001,10,28.48,43.42,78.74,92.18,Manajemen Air,7.5
4363,1992,Canada,Ontario,Wheat,2146.78,26.74,3.321,4,93.74,49.31,62.37,53.45,Tanaman Tahan Kekeringan,24.32
4364,2005,USA,South,Fruits,600.92,12.58,2.07,4,53.04,44.69,55.61,83.81,Pertanian Organik,16.27
4365,1991,Canada,Prairies,Coffee,1822.85,18.59,1.998,3,46.95,40.86,24.16,71.47,Tanpa Adaptasi,-1.24
4366,2005,Russia,Central,Soybeans,794.28,1.34,0.57,7,26.24,17.05,26.13,99.02,Manajemen Air,-2.56
4367,2022,USA,Northeast,Soybeans,311.46,26.64,2.898,10,89.29,25.45,81.88,74.98,Manajemen Air,11.08
4368,2016,Argentina,Northeast,Corn,437.65,19.72,0.909,10,35.12,35.55,86.56,75.37,Manajemen Air,32.34
4369,1997,Canada,Prairies,Wheat,982.12,12.59,1.8,0,66.42,45.29,18.67,55.46,Tanpa Adaptasi,15.3
4370,2021,France,Nouvelle-Aquitaine,Sugarcane,2290.05,2.69,3.26,9,67.78,48.17,41.41,33.96,Manajemen Air,31.83
4371,1993,Canada,Prairies,Vegetables,2599.79,28.84,3.681,10,98.47,27.88,56.64,86.66,Manajemen Air,15.95
4372,2000,France,Grand Est,Vegetables,231.47,23.36,2.097,2,18.46,24.7,55.82,54.46,Tanpa Adaptasi,2.57
4373,1992,Canada,Ontario,Vegetables,2441.98,2.15,3.97,0,88.52,47.47,78.81,50.25,Pertanian Organik,25.71
4374,2023,Brazil,North,Cotton,2139.76,16.96,2.133,3,42.04,33.03,62.37,53.27,Rotasi Tanaman,21.51
4375,2008,Australia,Western Australia,Wheat,1156.2,5.63,0.65,8,55.39457475380484,37.01,32.53,39.01,Rotasi Tanaman,3.13
4376,2010,Russia,Volga,Soybeans,676.04,18.37,1.611,5,94.24,49.08,16.12,56.49,Pertanian Organik,13.83
4377,1991,Nigeria,South West,Barley,2748.37,11.91,1.17,4,12.39,48.11,46.77,56.02,Manajemen Air,31.0
4378,2001,USA,West,Wheat,1751.13,10.5,1.86,6,33.29,3.58,8.14,96.72,Pertanian Organik,11.97
4379,1996,Australia,Western Australia,Sugarcane,2765.15,14.43,2.16,0,74.25,39.84,42.36,57.56,Rotasi Tanaman,14.84
4380,2015,France,Provence-Alpes-Cote d’Azur,Barley,2868.32,11.34,2.19,3,21.37,42.23,95.65,32.45,Tanaman Tahan Kekeringan,33.06
4381,1996,France,Nouvelle-Aquitaine,Vegetables,2501.67,29.91,2.556,5,30.92,20.32,41.0,68.95,Manajemen Air,19.92
4382,2008,Canada,British Columbia,Rice,1136.47,17.79,3.024,7,75.57,30.53,37.62,86.57,Pertanian Organik,32.4
4383,2006,Canada,British Columbia,Fruits,1234.89,4.12,1.45,4,77.88,28.26,98.48,93.68,Pertanian Organik,-4.59
4384,1999,USA,Northeast,Barley,442.91,18.04,0.738,3,98.11,39.46,99.97,40.68,Pertanian Organik,-1.95
4385,1996,USA,Midwest,Soybeans,1620.25,7.96,3.28,2,39.24,3.86,17.91,64.01,Tanaman Tahan Kekeringan,31.78
4386,2011,Australia,Western Australia,Barley,608.88,25.61,2.673,0,62.23,20.09,59.38,76.47,Tanaman Tahan Kekeringan,26.73
4387,2008,France,Provence-Alpes-Cote d’Azur,Fruits,2208.48,7.3,2.39,9,70.22,39.32,43.48,60.39,Manajemen Air,14.94
4388,2002,France,Nouvelle-Aquitaine,Cotton,1129.25,10.19,2.62,6,32.57,1.01,45.16,34.88,Tanaman Tahan Kekeringan,15.2
4389,2022,Canada,Ontario,Cotton,1046.92,27.98,1.593,1,59.45,41.04,46.08,30.41,Tanaman Tahan Kekeringan,20.05
4390,2006,Australia,Victoria,Barley,2969.81,26.14,2.061,5,21.93,22.09,32.17,90.52,Pertanian Organik,-1.26
4391,2014,USA,Northeast,Rice,655.18,18.08,0.7020000000000001,3,40.7,19.8,33.1,64.71,Tanaman Tahan Kekeringan,2.22
4392,2002,China,Central,Fruits,2647.39,6.95,3.48,10,46.77,19.78,21.11,55.64,Pertanian Organik,28.98
4393,2002,Canada,Quebec,Cotton,2947.68,1.68,3.24,8,21.74,16.95,75.38,78.24,Rotasi Tanaman,21.61
4394,2009,Russia,Northwestern,Sugarcane,1431.14,23.81,3.087,6,11.42,10.3,65.0,48.88,Pertanian Organik,24.78
4395,1991,France,Provence-Alpes-Cote d’Azur,Coffee,2778.47,18.56,0.801,4,52.9,13.68,18.59,99.48,Manajemen Air,-1.52
4396,2010,Argentina,Patagonia,Cotton,2144.75,11.07,1.06,9,88.33,28.75,62.03,72.13,Manajemen Air,3.26
4397,2016,France,Ile-de-France,Fruits,2496.4,29.12,2.673,10,27.58,12.55,28.43,65.34,Tanpa Adaptasi,-4.78
4398,2002,Brazil,North,Wheat,1683.61,6.73,1.03,6,75.75,45.3,29.93,68.16,Manajemen Air,28.72
4399,2000,China,South,Corn,2058.41,26.27,1.818,2,77.72,41.14,16.1,49.64,Tanaman Tahan Kekeringan,6.4
4400,2011,India,West Bengal,Fruits,957.61,17.67,1.332,0,43.9,13.83,93.89,95.93,Manajemen Air,7.08
4401,1992,Nigeria,North Central,Barley,1985.39,23.89,1.062,3,95.41,27.71,64.15,51.75,Rotasi Tanaman,9.02
4402,1992,India,Maharashtra,Sugarcane,2119.01,19.29,0.945,8,57.89,45.34,88.88,78.26,Manajemen Air,-1.65
4403,2024,India,West Bengal,Soybeans,1703.43,18.96,1.2240000000000002,2,45.64,28.04,17.99,60.84,Tanpa Adaptasi,8.58
4404,2013,Nigeria,North Central,Coffee,1485.41,17.71,0.648,0,25.42,38.88,92.32,36.38,Manajemen Air,5.55
4405,2016,France,Grand Est,Cotton,574.07,22.93,2.457,5,90.99,48.67,40.47,93.04,Tanaman Tahan Kekeringan,24.8
4406,2004,Brazil,Southeast,Rice,519.87,4.55,2.53,5,40.28,2.41,54.88,61.9,Tanpa Adaptasi,20.65
4407,2012,India,Maharashtra,Barley,1176.45,13.17,3.47,6,69.28,17.96,85.95,89.13,Tanpa Adaptasi,18.53
4408,2010,Brazil,North,Coffee,598.18,10.64,3.59,2,38.92,49.75,14.8,93.95,Rotasi Tanaman,32.35
4409,2012,USA,Midwest,Wheat,1594.77,12.76,1.82,7,55.39457475380484,10.14,22.02,66.59,Manajemen Air,22.54
4410,2011,Australia,Victoria,Corn,2705.67,10.54,1.82,4,97.8,35.08,79.68,82.63,Manajemen Air,-2.84
4411,2003,Nigeria,North West,Sugarcane,967.82,6.77,2.01,1,24.0,34.82,29.85,85.38,Manajemen Air,7.56
4412,2000,Brazil,Northeast,Wheat,416.62,23.05,3.321,2,50.16,11.47,61.19,76.49,Tanpa Adaptasi,30.48
4413,1995,Argentina,Pampas,Wheat,2672.14,3.91,3.87,6,45.08,30.63,38.38,44.57,Tanaman Tahan Kekeringan,34.72
4414,2000,Brazil,South,Cotton,545.27,22.61,4.257000000000001,4,85.67,30.21,39.76,99.75,Tanpa Adaptasi,17.26
4415,2015,Australia,Queensland,Wheat,1065.11,1.2,2.9,6,35.01,47.21,88.84,66.19,Pertanian Organik,10.36
4416,1992,Russia,Volga,Corn,2928.55,27.1,3.798,2,35.35,28.09,59.44,98.52,Rotasi Tanaman,16.43
4417,2009,Nigeria,South West,Soybeans,1167.97,24.28,1.557,5,93.02,18.67,81.93,73.62,Tanpa Adaptasi,34.98
4418,1993,Australia,Victoria,Coffee,1053.46,29.11,1.512,0,99.9,22.6,62.47,62.64,Pertanian Organik,17.6
4419,2014,China,East,Barley,1235.22,12.47,3.56,8,28.74,45.37,1.79,86.0,Tanaman Tahan Kekeringan,20.73
4420,2016,India,Punjab,Corn,1615.5030597110344,12.74,1.07,8,83.82,24.74,81.07,83.02,Pertanian Organik,6.21
4421,2003,Nigeria,South West,Coffee,805.11,4.7,1.2,9,93.08,39.23,83.28,50.71,Tanpa Adaptasi,-4.97
4422,2024,France,Grand Est,Soybeans,1356.95,18.78,2.457,4,40.8,22.69,75.78,83.36,Tanpa Adaptasi,23.92
4423,2000,USA,Midwest,Fruits,501.17,13.98,1.97,3,41.4,48.48,22.46,82.26,Pertanian Organik,3.19
4424,2012,Brazil,South,Coffee,2180.7,12.63,0.69,7,79.45,26.94,85.48,92.06,Pertanian Organik,9.08
4425,2008,France,Grand Est,Wheat,1911.49,17.11,1.395,0,82.28,35.23,86.11,61.35,Pertanian Organik,-4.65
4426,2018,Brazil,South,Soybeans,1939.07,28.44,2.952,7,79.37,14.76,48.85,34.6,Manajemen Air,11.29
4427,2016,USA,Northeast,Sugarcane,1067.86,15.6,2.709,8,53.82,31.12,75.01,46.0,Rotasi Tanaman,24.58
4428,1995,Canada,Ontario,Sugarcane,1892.37,25.34,2.16,4,29.66,5.77,39.49,74.79,Tanaman Tahan Kekeringan,23.73
4429,2023,China,North,Wheat,1658.66,24.34,1.305,9,38.4,7.91,91.21,80.43,Tanpa Adaptasi,21.5
4430,2006,China,South,Barley,631.37,0.51,1.81,10,12.39,33.75,44.84,70.14,Pertanian Organik,28.3
4431,2023,Canada,British Columbia,Rice,1569.55,11.29,2.49,8,75.86,38.22,36.43,80.42,Tanpa Adaptasi,4.63
4432,2021,France,Ile-de-France,Coffee,1682.44,26.85,3.474,1,27.05,31.07,2.41,38.51,Tanpa Adaptasi,26.55
4433,1999,China,South,Rice,883.29,7.9,4.36,0,21.15,7.23,86.96,86.15,Rotasi Tanaman,13.68
4434,2021,Canada,Quebec,Vegetables,2274.36,18.19,2.763,4,96.78,9.1,57.76,98.95,Rotasi Tanaman,20.63
4435,2005,India,Tamil Nadu,Cotton,1159.84,16.05,1.917,1,22.52,29.94,73.19,54.98,Tanpa Adaptasi,8.25
4436,2008,Brazil,South,Sugarcane,1538.68,2.08,1.79,4,20.15,0.61,18.32,34.08,Manajemen Air,24.06
4437,2022,Nigeria,South East,Barley,643.44,24.48,1.269,0,61.75,47.9,54.14,59.31,Tanaman Tahan Kekeringan,26.52
4438,2001,India,West Bengal,Barley,1177.96,20.45,1.728,3,52.82,1.28,45.74,79.52,Rotasi Tanaman,21.96
4439,2001,Nigeria,North Central,Corn,2397.83,0.64,1.07,2,96.58,30.28,74.26,87.63,Pertanian Organik,22.53
4440,2014,Nigeria,North West,Corn,881.06,22.01,2.007,5,35.6,38.3,89.6,78.13,Rotasi Tanaman,32.31
4441,2002,USA,South,Cotton,1633.86,28.68,2.628,7,28.72,49.05,7.54,78.81,Pertanian Organik,5.35
4442,2011,USA,South,Barley,1855.74,17.16,2.394,5,24.48,16.46,63.23,53.25,Rotasi Tanaman,14.39
4443,2019,Canada,British Columbia,Cotton,323.37,16.75,2.0160000000000005,3,48.6,32.09,57.58,58.1,Pertanian Organik,33.54
4444,2000,France,Nouvelle-Aquitaine,Vegetables,1856.4,0.85,3.36,7,18.77,2.58,13.05,67.64,Pertanian Organik,12.85
4445,2014,Russia,Central,Wheat,2488.68,27.95,3.222,0,85.85,15.03,95.27,75.57,Pertanian Organik,19.24
4446,2019,India,West Bengal,Soybeans,733.34,19.04,3.384,3,67.27,28.38,71.49,81.59,Tanaman Tahan Kekeringan,15.09
4447,1995,China,East,Vegetables,1602.83,17.2,0.522,3,27.78,37.04,48.39,53.83,Rotasi Tanaman,0.13
4448,2006,Russia,Volga,Wheat,1399.31,1.75,1.23,1,98.92,11.38,99.47,62.02,Tanpa Adaptasi,-3.4
4449,2001,Australia,New South Wales,Cotton,2556.37,20.57,1.161,9,20.88,45.32,98.92,47.48,Rotasi Tanaman,0.92
4450,2017,USA,South,Wheat,2069.82,13.73,0.8,9,56.78,38.65,46.74,66.32,Manajemen Air,34.23
4451,1990,Nigeria,South West,Wheat,1945.31,26.96,3.357,7,89.12,33.95,24.4,57.4,Rotasi Tanaman,13.7
4452,2024,USA,South,Rice,768.86,28.16,1.35,6,69.46,33.56,57.34,34.4,Tanaman Tahan Kekeringan,17.96
4453,2018,Argentina,Northeast,Corn,810.81,15.98,2.2230000000000003,7,31.32,30.98,7.23,63.85,Pertanian Organik,12.01
4454,1992,China,South,Cotton,526.5,3.87,3.1,2,73.07,36.2,36.02,33.24,Rotasi Tanaman,22.49
4455,2018,Australia,New South Wales,Corn,554.33,23.47,2.556,0,91.52,13.24,58.22,65.89,Rotasi Tanaman,4.32
4456,1999,Brazil,North,Vegetables,1723.84,14.81,2.44,10,75.99,26.98,19.31,63.95,Rotasi Tanaman,7.5
4457,2023,Nigeria,South West,Corn,2058.1,3.43,1.7,9,34.09,4.8,18.76,83.67,Tanpa Adaptasi,17.88
4458,1994,China,South,Soybeans,2786.47,7.11,3.0,6,54.91,40.9,39.78,83.32,Manajemen Air,-2.28
4459,2023,Australia,New South Wales,Barley,2731.37,5.41,2.81,5,52.17,27.71,11.96,45.46,Manajemen Air,8.53
4460,2001,Canada,Prairies,Rice,1480.24,14.43,2.71,0,90.8,24.5,29.11,36.81,Pertanian Organik,33.01
4461,2017,Argentina,Pampas,Coffee,646.14,17.21,1.845,3,13.11,13.35,77.8,79.08,Tanaman Tahan Kekeringan,33.48
4462,1999,Canada,British Columbia,Vegetables,1540.39,11.09,1.5,1,59.62,27.04,57.88,37.49,Tanpa Adaptasi,-4.37
4463,2001,Australia,New South Wales,Barley,1512.32,25.36,0.981,9,55.39457475380484,11.21,18.68,61.72,Rotasi Tanaman,-4.95
4464,2003,India,Tamil Nadu,Wheat,1436.95,17.8,4.068,5,15.46,46.39,77.64,36.63,Manajemen Air,15.96
4465,2000,Argentina,Northwest,Soybeans,474.28,17.0,1.98,2,86.63,11.91,1.76,31.07,Pertanian Organik,16.59
4466,2018,India,Maharashtra,Corn,2842.93,29.73,1.764,2,69.37,37.1,56.21,74.7,Rotasi Tanaman,3.23
4467,2014,Argentina,Pampas,Sugarcane,1242.76,19.92,1.503,2,56.6,49.14,28.93,40.92,Tanaman Tahan Kekeringan,11.42
4468,2013,India,Maharashtra,Wheat,1207.16,28.2,4.383,7,63.54,24.53,93.74,37.54,Tanpa Adaptasi,14.89
4469,2015,Russia,Siberian,Coffee,2550.33,21.77,2.817,6,83.13,8.44,29.6,91.77,Rotasi Tanaman,26.53
4470,2014,India,Tamil Nadu,Coffee,2259.49,0.53,2.9,10,13.38,33.15,92.52,49.36,Pertanian Organik,30.13
4471,2002,China,North,Wheat,1996.97,16.67,2.628,9,29.87,39.78,61.44,91.2,Manajemen Air,17.84
4472,2020,Brazil,Northeast,Sugarcane,1688.35,14.38,1.61,1,26.01,37.66,73.95,37.12,Rotasi Tanaman,4.07
4473,2018,China,East,Cotton,1996.13,20.55,2.9160000000000004,4,40.77,18.0,91.55,79.77,Manajemen Air,27.45
4474,1995,China,East,Corn,1436.02,20.02,1.953,10,36.89,17.97,56.95,75.58,Rotasi Tanaman,15.94
4475,1996,Canada,Ontario,Cotton,803.89,10.86,0.83,10,55.39457475380484,15.26,42.06,35.79,Pertanian Organik,-2.29
4476,1993,Argentina,Northeast,Coffee,1504.34,20.13,2.268,8,31.26,0.34,85.0,44.64,Pertanian Organik,4.07
4477,2004,Argentina,Pampas,Cotton,2513.34,6.48,1.47,8,50.42,36.32,77.29,60.43,Rotasi Tanaman,31.37
4478,2024,France,Ile-de-France,Coffee,2225.76,19.12,2.142,8,37.26,31.45,28.92,33.64,Pertanian Organik,10.67
4479,2017,India,Tamil Nadu,Fruits,2159.7,16.12,1.548,2,90.34,25.79,86.95,52.52,Manajemen Air,6.41
4480,2019,China,North,Sugarcane,1729.95,2.73,0.95,9,94.11,36.92,98.11,97.12,Pertanian Organik,34.13
4481,1997,Nigeria,South East,Barley,750.32,20.35,1.323,5,64.92,11.7,69.06,39.78,Manajemen Air,1.66
4482,2008,USA,South,Wheat,1195.62,22.02,2.853,0,23.26,40.87,47.58,91.71,Tanaman Tahan Kekeringan,30.17
4483,1997,Argentina,Northwest,Corn,1214.39,25.07,2.592,9,42.83,32.43,84.17,73.07,Manajemen Air,7.46
4484,2013,India,Tamil Nadu,Cotton,2788.88,4.77,3.82,9,93.59,19.88,81.91,89.29,Pertanian Organik,27.57
4485,1992,Australia,Queensland,Cotton,1037.9,4.37,1.0,9,89.15,17.33,82.07,72.55,Tanpa Adaptasi,3.5
4486,1994,Nigeria,South East,Fruits,2383.93,5.98,2.27,5,73.05,17.49,4.04,88.31,Tanpa Adaptasi,34.84
4487,2021,France,Grand Est,Wheat,2167.3,15.16,1.863,7,94.47,17.46,41.92,85.3,Tanpa Adaptasi,32.44
4488,2018,Brazil,North,Wheat,320.88,18.75,3.483,10,50.49,16.71,93.25,72.3,Tanpa Adaptasi,34.84
4489,1999,Brazil,Northeast,Corn,2517.6,4.54,1.3,10,51.61,26.1,39.02,57.35,Manajemen Air,27.13
4490,1992,Australia,Queensland,Wheat,1453.38,7.71,2.74,10,85.23,46.14,37.36,86.7,Manajemen Air,18.08
4491,2005,India,Maharashtra,Rice,1208.04,27.97,1.71,3,24.64,42.13,77.81,49.11,Manajemen Air,33.5
4492,2001,Canada,Prairies,Soybeans,663.47,9.1,0.95,9,65.75,31.05,85.63,61.15,Manajemen Air,9.14
4493,1999,Russia,Volga,Soybeans,492.55,20.67,2.538,9,17.43,29.99,75.37,74.49,Pertanian Organik,13.5
4494,1993,Brazil,Southeast,Rice,1723.52,22.54,2.493,0,10.68,23.12,13.56,53.97,Pertanian Organik,31.11
4495,2001,USA,South,Soybeans,912.4,15.32,2.277,1,57.38,19.4,40.85,34.75,Pertanian Organik,23.5
4496,1993,Australia,New South Wales,Coffee,2971.02,27.94,1.6740000000000002,8,15.45,31.45,71.4,62.65,Pertanian Organik,-3.65
4497,2000,India,Maharashtra,Soybeans,1241.47,16.54,1.332,2,51.21,9.06,94.4,66.11,Manajemen Air,32.98
4498,2009,India,Tamil Nadu,Fruits,396.62,16.92,2.601,0,51.04,1.2,2.83,31.35,Pertanian Organik,4.16
4499,2015,China,East,Wheat,2390.19,16.9,2.664,7,84.81,24.88,33.77,69.05,Tanpa Adaptasi,5.48
4500,2002,Argentina,Northeast,Vegetables,643.69,7.97,3.19,0,53.17,48.39,11.56,51.0,Manajemen Air,24.63
4501,2021,France,Grand Est,Wheat,417.59,28.25,2.673,8,61.07,45.36,91.94,63.56,Rotasi Tanaman,15.38
4502,1992,Australia,Queensland,Vegetables,2817.83,26.71,3.276,5,67.96,18.64,30.44,92.26,Manajemen Air,16.38
4503,1998,Brazil,Northeast,Wheat,576.25,23.49,3.654,7,69.52,24.3,62.02,89.57,Pertanian Organik,17.37
4504,2008,Australia,Western Australia,Rice,2608.91,24.82,2.907,4,57.82,35.54,38.04,33.43,Rotasi Tanaman,34.13
4505,2009,Canada,Quebec,Cotton,983.28,15.49,1.773,4,51.01,9.48,43.94,87.32,Tanpa Adaptasi,3.93
4506,2019,China,East,Fruits,2808.8,24.15,1.89,2,18.76,40.64,16.42,63.56,Tanaman Tahan Kekeringan,26.11
4507,2004,Brazil,North,Barley,1732.45,17.34,1.539,7,93.0,31.6,96.04,36.43,Manajemen Air,3.95
4508,1991,Brazil,South,Barley,1263.9,5.53,1.35,0,39.57,45.74,6.84,82.02,Rotasi Tanaman,-3.52
4509,2000,Russia,Volga,Corn,1972.23,14.49,4.54,2,80.18,0.59,60.87,63.09,Tanpa Adaptasi,19.04
4510,2007,Brazil,North,Wheat,998.57,16.77,2.709,0,37.76,48.08,82.84,83.76,Tanpa Adaptasi,11.68
4511,2010,Australia,Western Australia,Barley,488.42,28.35,0.648,9,65.78,13.76,10.56,83.34,Manajemen Air,7.4
4512,2002,China,North,Rice,2476.06,13.44,2.238219358974359,9,55.39457475380484,37.91,62.54,88.78,Pertanian Organik,-1.66
4513,2020,Brazil,Southeast,Wheat,2056.02,29.65,2.682,6,15.39,38.29,48.51,38.27,Tanaman Tahan Kekeringan,-1.08
4514,2017,Russia,Central,Wheat,987.49,27.66,1.728,6,12.39,36.46,66.06,76.44,Pertanian Organik,31.28
4515,2009,Canada,Ontario,Vegetables,2026.59,29.82,2.511,4,56.09,47.21,70.21,75.45,Pertanian Organik,14.21
4516,2016,Argentina,Pampas,Cotton,2566.14,9.3,4.91,3,92.93,7.76,97.11,64.19,Rotasi Tanaman,12.73
4517,2002,Russia,Northwestern,Soybeans,2772.99,12.29,0.66,4,43.97,10.72,34.9,42.6,Rotasi Tanaman,4.7
4518,2023,France,Grand Est,Coffee,2268.98,27.68,3.3480000000000003,8,55.39457475380484,49.7,10.75,49.44,Tanaman Tahan Kekeringan,13.54
4519,1992,Australia,Queensland,Fruits,399.9,23.17,2.124,1,91.0,28.86,86.8,66.38,Pertanian Organik,15.43
4520,1995,Canada,Ontario,Soybeans,749.44,19.19,2.3040000000000003,2,88.73,45.83,73.35,96.31,Manajemen Air,5.68
4521,1990,France,Provence-Alpes-Cote d’Azur,Fruits,268.2,18.18,1.89,10,64.42,11.88,30.0,83.61,Manajemen Air,15.09
4522,2011,Argentina,Patagonia,Soybeans,863.22,11.59,1.37,0,88.69,47.1,79.48,90.83,Rotasi Tanaman,33.9
4523,1996,Canada,Quebec,Rice,1478.18,24.77,1.872,9,92.04,8.44,83.58,73.81,Pertanian Organik,6.51
4524,2016,Australia,Victoria,Rice,654.94,24.22,2.268,10,40.06,35.43,57.96,84.3,Manajemen Air,-0.63
4525,2015,China,North,Sugarcane,2517.66,21.0,0.954,5,98.04,34.93,66.68,77.17,Tanaman Tahan Kekeringan,6.34
